date,open,high,low,close,volume
2017-06-06,39.36,42.94,39.36,42.94,6700
2017-06-07,47.23,47.23,47.23,47.23,1400
2017-06-08,51.95,51.95,51.95,51.95,4900
2017-06-09,57.15,57.15,57.15,57.15,5900
2017-06-12,62.87,62.87,62.87,62.87,27800
2017-06-13,69.16,69.16,69.16,69.16,153399
2017-06-14,76.08,76.08,76.08,76.08,405108
2017-06-15,77.01,78.88,73.81,74.06,7465919
2017-06-16,74.58,75.1,70.87,70.91,4911732
2017-06-19,69.35,71.5,68.52,69.31,3012371
2017-06-20,69.99,70.61,68.82,70.08,2670384
2017-06-21,69.58,69.66,67.71,68.07,2166766
2017-06-22,68.19,71.35,67.73,70.46,3288425
2017-06-23,69.63,71.5,68.25,70.39,2262333
2017-06-26,69.88,70.0,67.7,67.9,2453064
2017-06-27,67.9,68.88,65.9,66.12,2631996
2017-06-28,65.23,67.2,65.0,65.64,1551354
2017-06-29,65.98,66.5,65.27,65.8,1169953
2017-06-30,65.6,68.2,65.58,67.38,1973832
2017-07-03,67.11,68.2,66.5,67.6,1125040
2017-07-04,67.81,68.19,66.5,66.88,1440198
2017-07-05,66.99,68.65,66.7,68.46,2118048
2017-07-06,68.4,68.48,66.5,67.52,1762080
2017-07-07,67.52,70.2,67.22,69.18,2363180
2017-07-10,68.0,68.09,64.1,64.4,2376686
2017-07-11,64.48,64.85,63.22,63.37,1104800
2017-07-12,63.29,64.5,62.5,64.4,943770
2017-07-13,64.16,64.25,62.92,63.0,958201
2017-07-14,63.0,63.2,61.01,61.4,1046621
2017-07-17,60.27,60.27,55.26,55.26,1859122
2017-07-18,54.7,56.88,54.58,56.12,976880
2017-07-19,55.62,55.9,54.0,55.6,963157
2017-07-20,55.1,57.08,55.1,55.44,870535
2017-07-21,55.2,56.27,54.8,55.14,567714
2017-07-24,54.26,56.7,54.26,56.13,780034
2017-07-25,56.0,56.58,55.4,56.03,477500
2017-07-26,56.35,56.76,55.36,55.6,720015
2017-07-27,55.3,58.28,55.13,57.55,1196113
2017-07-28,57.45,57.55,56.5,56.6,820985
2017-07-31,56.6,57.84,56.31,57.05,803176
2017-08-01,57.04,58.93,56.96,58.24,1193989
2017-08-02,57.93,57.93,56.3,56.5,744459
2017-08-03,56.39,58.26,56.02,57.14,737479
2017-08-04,57.0,57.49,55.77,55.87,794590
2017-08-07,55.6,56.65,55.33,55.59,560900
2017-08-08,55.79,55.79,54.04,54.88,1095000
2017-08-09,54.71,55.23,54.33,54.6,610206
2017-08-10,54.87,54.95,52.53,53.03,977000
2017-08-11,53.04,53.26,52.58,52.6,578300
2017-08-14,52.4,53.72,52.4,53.5,516917
2017-08-15,53.75,54.18,53.4,54.06,520217
2017-08-16,54.06,56.18,53.66,55.59,1285327
2017-08-17,55.56,56.1,55.08,55.69,841464
2017-08-18,55.0,55.53,55.0,55.36,483890
2017-08-21,55.38,57.18,55.3,56.84,836200
2017-08-22,56.4,57.08,56.2,56.74,823200
2017-08-23,56.71,58.03,55.8,57.12,1101405
2017-08-24,57.18,59.79,57.0,57.9,2408545
2017-08-25,57.21,59.66,57.21,59.18,1702661
2017-08-28,59.84,65.0,59.69,62.44,2387037
2017-08-29,62.13,64.44,61.26,61.46,2386471
2017-08-30,61.27,62.44,60.3,60.82,1220792
2017-08-31,60.61,63.58,60.61,63.36,1733329
2017-09-01,63.68,64.3,61.76,63.17,1633711
2017-09-04,63.48,66.18,63.03,63.55,2076757
2017-09-05,63.5,66.6,63.5,65.79,1897003
2017-09-06,65.79,66.71,64.83,66.71,1710208
2017-09-07,68.0,73.38,67.0,67.53,3171122
2017-09-08,67.42,68.96,65.51,66.25,2210760
2017-09-11,65.95,68.3,65.95,68.0,1395007
2017-09-12,67.21,67.8,64.51,64.64,2111323
2017-09-13,64.91,67.19,64.6,66.93,1697716
2017-09-14,66.57,68.5,65.79,65.96,1172894
2017-09-15,65.95,66.34,63.01,63.88,1496700
2017-09-18,63.3,68.89,63.3,68.4,1978807
2017-09-19,70.5,73.6,70.0,71.2,3512135
2017-09-20,72.36,77.48,70.68,75.03,3379285
2017-09-21,75.9,82.53,75.5,78.5,5292571
2017-09-22,77.62,79.99,75.52,77.99,3021026
2017-09-25,77.99,78.89,73.01,73.34,2914636
2017-09-26,74.0,74.0,69.24,71.15,2327047
2017-09-27,71.78,74.67,70.01,74.2,2475943
2017-09-28,73.25,75.96,71.9,72.18,2392159
2017-09-29,72.36,74.98,71.9,73.9,1656372
2017-10-09,75.26,76.57,73.71,74.28,1675994
2017-10-10,73.99,75.41,73.61,75.1,1410352
2017-10-11,74.81,75.0,71.28,71.69,1905904
2017-10-12,72.5,72.91,70.01,72.54,1342107
2017-10-13,72.77,73.85,72.1,73.0,799800
2017-10-16,73.1,75.45,72.79,72.79,1276919
2017-10-17,72.8,77.19,72.51,76.3,1865680
2017-10-18,76.5,77.66,74.0,74.53,1449823
2017-10-19,74.25,77.58,74.11,77.3,1494920
2017-10-20,76.81,78.79,76.33,78.66,1274650
2017-10-23,78.4,81.1,77.61,79.32,1325547
2017-10-24,79.28,79.28,76.01,78.9,1759876
2017-10-25,78.69,79.96,77.03,79.49,1219446
2017-10-26,80.39,82.5,78.66,79.48,1413478
2017-10-27,79.6,80.5,78.08,79.5,998294
2017-10-30,78.62,83.89,78.62,80.98,1919746
2017-10-31,80.88,85.0,80.13,84.8,1440533
2017-11-01,84.8,92.1,84.1,89.01,1990640
2017-11-02,88.89,91.79,87.25,87.32,1681007
2017-11-03,87.3,90.2,87.1,89.36,1407302
2017-11-06,90.48,95.98,90.33,92.26,1881131
2017-11-07,91.91,94.59,91.5,93.33,1627373
2017-11-08,93.0,94.24,90.33,90.8,1323787
2017-11-09,90.38,95.1,88.63,93.97,1578600
2017-11-10,93.46,97.3,91.62,92.8,1563133
2017-11-13,92.34,98.48,92.34,98.15,1490300
2017-11-14,97.38,101.97,96.33,96.5,1725591
2017-11-15,96.47,98.77,92.5,96.3,1358500
2017-11-16,95.4,98.0,89.15,91.6,1606300
2017-11-17,91.6,92.09,85.0,85.57,1609762
